package,layer,invariant,value,status,source,result,artifact
cadical_frat_surface_lrat_verified,prior,cadical_lrat_checked_trace_typed_c_ledger,imported,HASHED_IN_CERTIFICATE,prior/running_ledger.csv,PRIOR_IMPORTED,prior/running_ledger.csv
cadical_frat_surface_lrat_verified,external_solver_evidence,frat_bundle_files,21,CERTIFIED_BY_MANIFEST,external_solver_evidence_bundle_strong_cadical_frat/external_evidence_manifest.json,PRESENT,external_solver_evidence_bundle_strong_cadical_frat/
cadical_frat_surface_lrat_verified,external_solver_evidence,CaDiCaL_FRAT_runs_UNSAT,5/5,CERTIFIED_BY_SOLVER_LOGS,external_solver_evidence_bundle_strong_cadical_frat/*.stdout.txt,WITNESSED,external_solver_evidence_bundle_strong_cadical_frat/
cadical_frat_surface_lrat_verified,external_solver_evidence,standalone_FRAT_checker_found,false,BLOCKED,audit/frat_verification_status.json,BLOCKED_NO_STANDALONE_FRAT_CHECKER,external_solver_evidence_bundle_strong_cadical_frat/
cadical_frat_surface_lrat_verified,external_solver_evidence,extracted_LRAT_proofs_verified,5/5,CERTIFIED_BY_LRAT_TRIM,audit/frat_extracted_lrat_verification_summary.csv,VERIFIED,audit/extracted_lrat_from_frat/
cadical_frat_surface_lrat_verified,external_solver_ordered_route,extracted_LRAT_events,44,CERTIFIED_BY_REPLAY,audit/extracted_lrat_analysis/external_analysis.json,EVIDENCE_PRESENT,audit/extracted_lrat_from_frat/
cadical_frat_surface_lrat_verified,external_solver_ordered_route,extracted_LRAT_rank_F2,4,CERTIFIED_BY_REPLAY,audit/extracted_lrat_analysis/external_analysis.json,EVIDENCE_PRESENT,audit/extracted_lrat_from_frat/
cadical_frat_surface_lrat_verified,external_solver_ordered_route,extracted_LRAT_rank_F3,4,CERTIFIED_BY_REPLAY,audit/extracted_lrat_analysis/external_analysis.json,EVIDENCE_PRESENT,audit/extracted_lrat_from_frat/
cadical_frat_surface_lrat_verified,external_solver_ordered_route,extracted_LRAT_rank_F5,4,CERTIFIED_BY_REPLAY,audit/extracted_lrat_analysis/external_analysis.json,EVIDENCE_PRESENT,audit/extracted_lrat_from_frat/
cadical_frat_surface_lrat_verified,external_solver_ordered_route,full_FRAT_legacy_route_rank,blocked,BLOCKED_ROUTE_EXPLOSION,audit/full_frat_external_analysis_status.json,BLOCKED,external_solver_evidence_bundle_strong_cadical_frat/
cadical_frat_surface_lrat_verified,proof_route_cvx,FRAT_surface_events,214,CERTIFIED_BY_CVX_AUDIT,audit/cvx_frat_surface_route_audit.json,C_PUBLIC_FRAT_SURFACE_TRACE,proof_artifact/frat_surface_route_audit.md
cadical_frat_surface_lrat_verified,proof_route_cvx,FRAT_antecedent_references,91,CERTIFIED_BY_CVX_AUDIT,audit/cvx_frat_surface_route_audit.json,C_PUBLIC_FRAT_SURFACE_TRACE,proof_artifact/frat_surface_route_audit.md
cadical_frat_surface_lrat_verified,proof_route_cvx,C_steps,214,CERTIFIED_BY_CVX_AUDIT,audit/cvx_frat_surface_route_audit.json,C_PUBLIC_FRAT_SURFACE_TRACE,proof_artifact/frat_surface_route_audit.md
cadical_frat_surface_lrat_verified,proof_route_cvx,X_steps,0,CERTIFIED_BY_CVX_AUDIT,audit/cvx_frat_surface_route_audit.json,NOT_DETECTED,proof_artifact/frat_surface_route_audit.md
cadical_frat_surface_lrat_verified,proof_route_cvx,red_flags,0,CERTIFIED_BY_CVX_AUDIT,audit/cvx_frat_surface_route_audit.json,CLEAR,proof_artifact/frat_surface_route_audit.md
cadical_frat_surface_lrat_verified,theorem_route,supplied_cadical_frat_surface_type,C,CERTIFIED_BY_CVX_AUDIT,audit/cvx_frat_surface_route_audit.json,C_PUBLIC_FRAT_SURFACE_TRACE,proof_artifact/frat_surface_route_audit.md
cadical_frat_surface_lrat_verified,theorem_route,X_extractor_present,false,CERTIFIED_BY_TRACE_CLASSIFICATION,audit/cvx_frat_surface_route_audit.json,NOT_DETECTED,proof_artifact/frat_surface_route_audit.md
cadical_frat_surface_lrat_verified,theorem_route,e33_extraction_present,false,CERTIFIED_BY_TRACE_CLASSIFICATION,audit/cvx_frat_surface_route_audit.json,NOT_DETECTED,proof_artifact/frat_surface_route_audit.md
